client_id	path	sentence	up_votes	down_votes	age	gender	accents	locale	segment
f55a837f1dcff9be74f291521ca3af019920f9357bf0219e7d7c64ba1861024bc6da68f471fe5f82d227f06cdd67fb6af1b455203d4ab66f72ca85b19ce29eef	common_voice_en_34925937.mp3	This approach is effective but not bullet-proof.	2	2	thirties	female	United States English	en	
f55a837f1dcff9be74f291521ca3af019920f9357bf0219e7d7c64ba1861024bc6da68f471fe5f82d227f06cdd67fb6af1b455203d4ab66f72ca85b19ce29eef	common_voice_en_34926014.mp3	Robert Schadewald accused Gish of stonewalling arguments with fabricated data.	0	2	thirties	female	United States English	en	
f55a837f1dcff9be74f291521ca3af019920f9357bf0219e7d7c64ba1861024bc6da68f471fe5f82d227f06cdd67fb6af1b455203d4ab66f72ca85b19ce29eef	common_voice_en_34926122.mp3	In addition to static graphics, there are animation and video editing software.	0	2	thirties	female	United States English	en	
c24de63a1ac9c36069a4978de6c107223d9f5a69bc8181bd911ec86e4b14be9604fa8ef6dd3cc3784534b68ab4412e74f26c31f1fee917dd562e2575f3e087a0	common_voice_en_34927003.mp3	The strobogrammatic properties of a given number vary by font.	0	2	twenties	male		en	
98f694e929bce69af677865b4423fbf60f5b212c2c43d30bf5277e628329dbfa6adaa638bc9763656a66fa9569614e3981409b840f3d76679d97da1a67e6bae3	common_voice_en_34929869.mp3	Smith was frequently consulted in fever epidemics and on sanitary matters by public authorities.	0	2				en	
f55a837f1dcff9be74f291521ca3af019920f9357bf0219e7d7c64ba1861024bc6da68f471fe5f82d227f06cdd67fb6af1b455203d4ab66f72ca85b19ce29eef	common_voice_en_34931358.mp3	There is no universal agreement among scholars regarding the autonym of Lenape territory.	0	2	thirties	female	United States English	en	
e09931041fdce644bbeee477ab0b1212acbc815d57e65a18bf0decf78c91874d2a4c9aaf32dfd3a8696ffc17844fbbccd5e6b212b1e6ae59366b34d9b654986e	common_voice_en_34934592.mp3	Some critics have compared Grossman's novels to the work of Leo Tolstoy.	1	2	thirties	male	Malaysian English	en	
e09931041fdce644bbeee477ab0b1212acbc815d57e65a18bf0decf78c91874d2a4c9aaf32dfd3a8696ffc17844fbbccd5e6b212b1e6ae59366b34d9b654986e	common_voice_en_34934596.mp3	The full sum was never recovered.	0	2	thirties	male	Malaysian English	en	
c4d63c2b48609e841cbba970eb2afa53e8c48c536364cc63a544126ec2d752a73cae621c459da5ac738176a7e2c64ce624220b0202394ea2064afdf3819d8c73	common_voice_en_34934874.mp3	The Earls Court route was the normal operation for the four pioneer Siemens-equipped trains.	0	2			India and South Asia (India, Pakistan, Sri Lanka)	en	
c4d63c2b48609e841cbba970eb2afa53e8c48c536364cc63a544126ec2d752a73cae621c459da5ac738176a7e2c64ce624220b0202394ea2064afdf3819d8c73	common_voice_en_34934878.mp3	Dudelange is situated close to the border with France.	2	2			India and South Asia (India, Pakistan, Sri Lanka)	en	
e14f2fc7dac10f9213fa297c4875ce856029875ca4390e3c9ea5a0c44940a636a165e87c129809193fbcc69dcd6d6f8bdc0412face670bdf855147a1039e3965	common_voice_en_34936388.mp3	Treatments attempt to improve function after an attack and prevent new attacks.	0	4			Caribbean Canadian 	en	
e14f2fc7dac10f9213fa297c4875ce856029875ca4390e3c9ea5a0c44940a636a165e87c129809193fbcc69dcd6d6f8bdc0412face670bdf855147a1039e3965	common_voice_en_34936480.mp3	A round is thus an example of strict imitation.	2	2	fourties	male	Caribbean Canadian 	en	
cae301b389d76bf2203ffb243ae9d80423981d24eee4d167217fad0ac377704a410570107ba23a6aaf26d11345cad96829e2e44d250c537501597638c03d6864	common_voice_en_34938757.mp3	The Anushilan marxists then held talks with Acharya Narendra Deva, a former Anushilan militant.	2	2	fourties	male	United States English	en	
372293e65cdab88771e028a4351651ab2eff64438ddafc211e089247dcdccca350153465eb5409ce708081d9ad384af45d1dc57bbe030ae1a2c0edd561322fb8	common_voice_en_34939338.mp3	He also served as secretary to the Bolognese Senate.	0	2	fifties	male	German English,Non native speaker	en	
372293e65cdab88771e028a4351651ab2eff64438ddafc211e089247dcdccca350153465eb5409ce708081d9ad384af45d1dc57bbe030ae1a2c0edd561322fb8	common_voice_en_34939417.mp3	Upon initial release, the album seemed to be suffering the dreaded sophomore slump.	2	2	fifties	male	German English,Non native speaker	en	
372293e65cdab88771e028a4351651ab2eff64438ddafc211e089247dcdccca350153465eb5409ce708081d9ad384af45d1dc57bbe030ae1a2c0edd561322fb8	common_voice_en_34939526.mp3	The territory of Vedi has been settled since the Urartian period.	0	2	fifties	male	German English,Non native speaker	en	
372293e65cdab88771e028a4351651ab2eff64438ddafc211e089247dcdccca350153465eb5409ce708081d9ad384af45d1dc57bbe030ae1a2c0edd561322fb8	common_voice_en_34939533.mp3	At least two movies were made based on the Merlini books.	2	2	fifties	male	German English,Non native speaker	en	
372293e65cdab88771e028a4351651ab2eff64438ddafc211e089247dcdccca350153465eb5409ce708081d9ad384af45d1dc57bbe030ae1a2c0edd561322fb8	common_voice_en_34939543.mp3	Up the main street is the Jacobean-styled Eyam Hall, built just after the plague.	0	2	fifties	male	German English,Non native speaker	en	
372293e65cdab88771e028a4351651ab2eff64438ddafc211e089247dcdccca350153465eb5409ce708081d9ad384af45d1dc57bbe030ae1a2c0edd561322fb8	common_voice_en_34939587.mp3	This film was selected to the official competition of the Berlin International Film Festival.	2	2	fifties	male	German English,Non native speaker	en	
372293e65cdab88771e028a4351651ab2eff64438ddafc211e089247dcdccca350153465eb5409ce708081d9ad384af45d1dc57bbe030ae1a2c0edd561322fb8	common_voice_en_34939602.mp3	Len Norris received an honorary doctorate from the University of Windsor.	0	2	fifties	male	German English,Non native speaker	en	
372293e65cdab88771e028a4351651ab2eff64438ddafc211e089247dcdccca350153465eb5409ce708081d9ad384af45d1dc57bbe030ae1a2c0edd561322fb8	common_voice_en_34939624.mp3	He suffers from a severe peanut allergy.	0	2	fifties	male	German English,Non native speaker	en	
372293e65cdab88771e028a4351651ab2eff64438ddafc211e089247dcdccca350153465eb5409ce708081d9ad384af45d1dc57bbe030ae1a2c0edd561322fb8	common_voice_en_34939742.mp3	Porcaro died a few months later of a heart attack in his garden.	0	2	fifties	male	German English,Non native speaker	en	
709190b65caddde1e9d29701a22e46ecb64b3c0b3131bba3bb0dc98960de22a6005a70f8f2d8936e422bc9eea42c7e372da95da8848819c835fe5abd3ad12ba0	common_voice_en_34943492.mp3	Like other elanid kites, black-shouldered kites hunt by quartering grasslands for small creatures.	0	3	thirties	male	United States English,Foreigner English	en	
709190b65caddde1e9d29701a22e46ecb64b3c0b3131bba3bb0dc98960de22a6005a70f8f2d8936e422bc9eea42c7e372da95da8848819c835fe5abd3ad12ba0	common_voice_en_34943798.mp3	A statue of Golden Miller was erected near the parade ring at Cheltenham Racecourse.	0	3	thirties	male	United States English,Foreigner English	en	
f55a837f1dcff9be74f291521ca3af019920f9357bf0219e7d7c64ba1861024bc6da68f471fe5f82d227f06cdd67fb6af1b455203d4ab66f72ca85b19ce29eef	common_voice_en_34944169.mp3	For some, seizures would be completely eliminated.	0	2	thirties	female	United States English	en	
f55a837f1dcff9be74f291521ca3af019920f9357bf0219e7d7c64ba1861024bc6da68f471fe5f82d227f06cdd67fb6af1b455203d4ab66f72ca85b19ce29eef	common_voice_en_34944277.mp3	That year, the station debuted a weekday morning newscast.	0	2	thirties	female	United States English	en	
f55a837f1dcff9be74f291521ca3af019920f9357bf0219e7d7c64ba1861024bc6da68f471fe5f82d227f06cdd67fb6af1b455203d4ab66f72ca85b19ce29eef	common_voice_en_34944332.mp3	In consecutive reactions, the rate-determining step often determines the kinetics.	2	2	thirties	female	United States English	en	
f55a837f1dcff9be74f291521ca3af019920f9357bf0219e7d7c64ba1861024bc6da68f471fe5f82d227f06cdd67fb6af1b455203d4ab66f72ca85b19ce29eef	common_voice_en_34944569.mp3	Speakers of the dialectal group are primarily ethnic Serbs, Bulgarians, and Macedonians.	2	2	thirties	female	United States English	en	
f55a837f1dcff9be74f291521ca3af019920f9357bf0219e7d7c64ba1861024bc6da68f471fe5f82d227f06cdd67fb6af1b455203d4ab66f72ca85b19ce29eef	common_voice_en_34944591.mp3	Joel Keller of "Decider" found the series funny.	0	2	thirties	female	United States English	en	
fa97348761eb7cd88a72c723e78fe825151148a869501646d0e8e74144cc9dafcb5c6a40f8c1f9ca5c868cc513891cc3542451813f7c5829ab2072d8d7edc194	common_voice_en_34947446.mp3	Marine cathodic protection covers many areas, jetties, harbors, offshore structures.	0	2	twenties	male	Dzongkha	en	
e5ec4ff8c5f24fd6cf0431dbc29fbf29ec565ea8c4455ef018e5f6a5b0f0f9a50b6182f343e4ab7925661d2ebb2c0a295edea67cbd4bcbc71beda610c7fac827	common_voice_en_34948370.mp3	It has been subsequently altered.	0	2	thirties	female	England English	en	
