client_id	path	sentence	up_votes	down_votes	age	gender	accents	locale	segment
0277a1e08f90eababc0042d066dc2a67dad837ea38c7a37385adbe98a241c41a9bf6396a93b7cd7e1cfb679fd5f0509a0700a99ed094f9daeffe6287cdfb59b8	common_voice_en_35244283.mp3	He was commonly referred to as the "Blacksmith of Ballinalee".	2	0				en	
02989caf9972c52df171813798df5c6f4043af96657d32903e38bef61997880529bc7ad0286f4503c89cfd37ee2e3b5f129c7768f6c5404399c6532dd52b1943	common_voice_en_35387333.mp3	No one else could claim that.	2	0				en	
030e18361c6f9506b86215891b722f6d9b3b3e48be2cdafe5279e6cd13f995170bb32682e128a342c217a9b69b6f85800539f44946e5c6374046c851cbfae6e1	common_voice_en_35273538.mp3	The game was also released on the N-Gage.	2	0				en	
05a2ad5cabbd42ef949ed66a3708f34be0e7941b1a9a06ff5d222e5f932b51d25e9b8bcf60939a2e94b3cc4aa6ec48bc6090c8a3dcca38c6cd61ad73c20edf3e	common_voice_en_35003570.mp3	Her father was an alderman in the city government.	2	0				en	
05a3f4067ed4753da9f9d9d4cd23e51c94e4cd1f62adb8ca26ff15b1aab9fce1460376dc89e120b81f0c8a8b3fbbb356df63dc8bd48deb2dec4e635b92063fc0	common_voice_en_35123560.mp3	The film and each of its vignettes revolve closely around the theme of death.	2	0				en	
06a369cd1da377530a21ca419136c7260e737a2b7122bb1087ed30d0e243dc7709c91f58db3fc3e2aee2a3dc7a9a27633b23052555bdf9f60d564462559edf05	common_voice_en_36084872.mp3	Paraphyletic taxa will often, but not always, represent evolutionary grades.	2	0				en	
07e47a2008d5ef7cfe689f7f4316108afee96d853a209af635be1589115dc010222441960ed562171b1ff2478d0c24b69519346cfd492424be05f3c6188eb835	common_voice_en_35271949.mp3	The district is represented by Republican Mike Johnson.	2	0				en	
090ea37181061b5dfdbce89f9a604950a1bfc35efae5ab789fa9cb983af56cb0fd22347106ccb7d498fe312a39a71542baeabe69b7abf5491d80f1d798ed1ce6	common_voice_en_35058174.mp3	The King's two private secretaries, Lords Knollys and Stamfordham, gave George conflicting advice.	2	0				en	
09efd0e1a121a60bd644da22ff74cc33232bed6a9e01cba77489a408a54862f59bfda317779ff4d1376de57fed4a9de29956e3a8c22666b600748903624006b7	common_voice_en_34997009.mp3	The tower caused minor discontent, because it blocked sight lines of Central Park.	2	0				en	
0a4a014df37064a65e5248071191e21de323e2fa929cf524280ba6c1c524d968659de2ed64400a797688d3c6be29e67222aa100f148dadf26d9b358f79b1b421	common_voice_en_35148587.mp3	An electric arc has a non-linear relationship between current and voltage.	2	0				en	
0dae9d7ad26e1383db0b317eafc01a41b63a5e599b659155c4a7e1c2e797d1d43b5498c0cf290e5e02af622569dcec8dc489a6d91941b15bb2f2dd96109fd52a	common_voice_en_36485380.mp3	Once again, the Mets had other thoughts in mind.	2	0				en	
0e5c80563350eaec7c2a6c5ecba048aa10be5f89cf8fcce2c587ccb6ac1b616ca3d667d4b1fb3a5ebcc230bd383e9ba29103d80d077e361808c671cded8f5ba7	common_voice_en_35432706.mp3	She appeared in the first five episodes of "Martial Law" with Sammo Hung.	2	0				en	
0fcfffbd0b576bb9555513fade06a5ab68ccc8c929ed8ebf5a219699317dfabf3b1fc1d7b586dfb3b30c48f7e4d5221e395e514cb5dac4adfb5fa48e659af0ad	common_voice_en_35395148.mp3	Each one of these describes totalitarianism in slightly different ways.	2	0				en	
11061132a521d814de8f46a22b7fa611629a80959473e72cefa11f44319ae1f33b8eaafe4875a80d9139144408ce789651f9c5ebc6ad2307b6a773b480eac196	common_voice_en_35289876.mp3	The meetings were held in the Conference Chamber of the Westminster Palace Hotel.	2	0				en	
12bd6f202299ade24822e4634848a3cbc454d869ba31ae8af43bb0e98e60576240c0f2ebf39a7d718aaeadc3708a56e0236c7e76b534b4f54d8221b219722266	common_voice_en_36067396.mp3	Meanwhile, they had also built an estate in Shelter Island, New York.	2	0				en	
165662faccf695cd3cc01babd4ae7ceb377f493bfa2b86fe7bbeb1e9cb0927473b549646033a6748a977fa389c1c41df8eedb3f552a8380edab4de875bbc570a	common_voice_en_34982721.mp3	Plastic spoons are commonly used to prevent injury from aggressive players.	2	1				en	
17af49e0fdfa1675d102a2291deffe05d056fe1d5495587ed704462705f24cf818d122572bb27bd2caf89828404c6f87aab9dc47e5d44f04fcc2fd941a875130	common_voice_en_36512874.mp3	He had been trained by cartographer Petrus Plancius in mathematics and astronomy.	2	0				en	
185fa38a0e0ab4f5d0937e258dd93f2f094e83eb22d56835073e1385800cbaa00504da5193d73e697d2a4109d6708a27b3c81dc445c616facfa7b75bb36dbdd3	common_voice_en_35044559.mp3	He has also trained many wrestlers throughout the years.	2	0				en	
1ba91052d930a463c8c9d370f316c7422274bf9978cd22cdc4e721f65425b00f4375b955e34c919546e5fae1bd182489dfce513f54a38133b2171ab585cbc52e	common_voice_en_35160796.mp3	Their style has drawn comparisons to both the Road Warriors and the Steiner Brothers.	2	0				en	
1cbbb19068ee8e2cd21c22f456a4b4e6c1741e2584b113777bbd0a374b74785328968b0b7306dd9883c82bec439aee4d257ba58188ee2d59d96e280cc8b112a5	common_voice_en_35399719.mp3	She studied business at the University of Bristol.	2	0				en	
1fa820e773ea88965e7b4de601414ccc8f3a55ab3b2ca641deb213ef81e007a1eedf190bf124ef436cbd8704a453eb8fc0ffacdc0d2fe577024491c7b441bf2a	common_voice_en_35244670.mp3	He began riding in the hills and playing around with freestyle.	3	0				en	
1fd2819358944f816963aa289ae43bc7049864ba35a0c14f4905532089f6a1870a03b7fef3bba5626185031757b86782f489a54498f561c8567a642497694e50	common_voice_en_35374043.mp3	It took three days before the men were brought back into order.	2	0				en	
2008b1e7c0e615561dc5e87acc846a08a479d5eb9eb9eb08da4e6bbbddbaf422de3479e9a8263e0a4191f43282ec71067231b6697cbfcc410c413722dd6459b8	common_voice_en_35663019.mp3	It was one of the first tabletop role-playing games, along with "Dungeons and Dragons".	2	0				en	
2202218330bbb59278d3c28b2f56ebc403d9398286848306a4519c6943df68c6f1d02e4bbff4465f89e1f7cc181ae31c874e2d11ecb8ea1a922aa6aec2996f64	common_voice_en_36455480.mp3	The proceeds of this album went to charity.	2	0	twenties	male		en	
248e54d3e8bac7cbfb2cf2fd9094fe78dd9d9dac4cfb341c4a500873019950ed2c143a78f637f8724d16fb6c7916f03a042282fc044f7b703a875caa5ec68dd3	common_voice_en_36415008.mp3	The album, released to positive reviews, was dedicated to the memory of Chuck Schuldiner.	2	0	fourties	male	United States English	en	
25acd1c4b8151e30b1d619d31be1dcbe5173841a5b9a0e9b96ceda36f0a3c36320f5260420dcece8622d82d34db790cca8d70ef604ef590e2c1a2ba2523f194e	common_voice_en_35714315.mp3	Wang.	2	0	fourties	male	Southern African (South Africa, Zimbabwe, Namibia)	en	
26a9e23946e485cb40fe31bb105bb3d17db59a84588029bf03e318c8f0727d4e359504db4c8343c21f3446f0384c3103e128606d4bde43b3a8550f5b82f71e71	common_voice_en_36507276.mp3	Deerfoot Trail would then be three lanes each way through the interchange.	2	0	twenties	male	England English	en	
28da75e78e63d99895a3c756fa78d96c6842644304c3d4a4ea9d32f3795f63642620a326e68000314a5c6de345171d6176a1355f0d44476bb8275afa8050bc21	common_voice_en_35014697.mp3	He was a friend of Francesco Algarotti, who wrote him many letters.	2	0				en	
29823d6351be13128a54d856863701679309c815657d3621f41e74465d8aacb7d046695d6d9a7efcc98167af55b323f255d898b123c4763b7ba157ef15081faa	common_voice_en_35190511.mp3	CardSystems was acquired by Pay By Touch.	2	0				en	
29b8505586cd43382cd695da6b943f401104be710a5b60e814ac5fe7e06b39459cf8fe1701ca83f8154b3ccd749df7c2aef33ff23950bb1a135b1e1c393dbcf6	common_voice_en_36453451.mp3	The statues on which this description is based are in the Vatican.	2	0	fourties	female	Scottish English	en	
2a1b2402bdde09bd9d144eb27e4fb1aeedb2f9a36a92b9d0658ae0c855c37ba4d509e11b3d205910a6c804a484af0ffdf843bfb07fdbe06b41a2d9e2e1fe9e77	common_voice_en_35051937.mp3	Haywards Heath as a settlement is a relatively modern development.	2	0				en	
2b1561fc0dafc5810600da0367eb3d9be045a0d4f5d08d4e334e22459b2bdb3f52ecb1247a30baa2944663198be29a231974897f130c0015a93115164c87f719	common_voice_en_34979331.mp3	He signed the trio to Hot Wax Records.	2	0				en	
2bef39b594313c818e2ee6d6e88965ef0c3d70c619c201f24443b5840822aa269b61da819f10eda606e344b5ee6adf03f4267e56e39acf1080206d1d9250adb0	common_voice_en_36068063.mp3	The changes introduced a single taxation regime.	2	0	fifties	male	United States English	en	
2bfad57b5b7d1640ed2483abdc95b92b92cfe931b377ef8d5c87bfa646a6ff0fa78dea43c140b6fcdc9305197070e2cf723987d3758aad57a86b09e19baa30c8	common_voice_en_35263163.mp3	After the main gateway was destroyed Felek's platoon moved in...	2	0				en	
2e97f306f496d7b56a076f68058e345dc7e750a05d3ff10c83bb8c97a08f2b840d4693a962d3a3266b18e20e652e941e8e4e2ba16eb0b37a437f8fe20175797e	common_voice_en_35400504.mp3	This leads Batman and Gordon to conclude that Dent was Holiday since the beginning.	3	0	seventies	female	Upstate New York,United States English	en	
2eb38de2e2587831e85701f797ae4c17342b33144d0617a8486e766c104740954010611b72bf367f144bab50137e2f46e2e26f52bcfc6ec7f3671aeacfaec963	common_voice_en_35861647.mp3	The items would have different presenters, and would be linked by a narrated voiceover.	3	0			Kenyan ,East African	en	
2f33c7ecf68c5d17bc3e39334cbdef375f1cc785a41478c55c41305247860d12780e5ca3994625c7761968737546a0d0fc78dc998bf410f60eb19e3e824a1abc	common_voice_en_35779896.mp3	That burial-ground commands a beautiful view.	2	0	teens	male		en	
30be0940a0029ff1b168a68330e1ee83af676fe6df54b74e982e8c36795c06bdc997b4440a6c881d0336e1c98f5837fb01dbae5d32d097b94daa7feda38bd0d2	common_voice_en_35530701.mp3	Each captain was joined by two former captains.	2	0				en	
313aecadb9eb642c28b735093b8ee4810f2865af8c8d2cc8839c6c66448b367e158251abf3554a54f1c99b17118822544e3485af7a3114966333b9ee95c215c6	common_voice_en_35111559.mp3	Louis Soldan was the son of the shoe manufacturer Alois Soldan.	2	0				en	
346067e3140f6324aff211881c39bc0cfada2f9ff87fe54854a73983e5389a423a1791fddb4a7d48b2d230e3c08bd266b067661c5e15261ba2f53e0ad50ea3f3	common_voice_en_36303154.mp3	She had an older brother named Arthur Besant.	2	0	thirties	female		en	
34b4f590fb860d350bece6da13baf723ffb2d595659264620a38cbbdb79c8552c514c94f947efe3e1b1b308077c537a252721acdbbae2a81499f19a84d3bf719	common_voice_en_35240673.mp3	It is named after George Simpson, a governor of the Hudson's Bay Company.	2	0				en	
351f1ebcb68ec3c391bfaaa8cc7f33ba315791fd9ca4eae38f993e6e9338a5ff6f407c32ac7137cce8871858db4b0b2466134a66b193af1006fc3a32baea18bc	common_voice_en_36018846.mp3	This eliminates both of the problems mentioned in the previous section.	2	0				en	
3678f10550505fa5fbd30fd0f1fd75b6b2343aaed87ddac1ace0c23b4dfc577e7e22a7f4ea5f80338b1322e45f94e20904dbad79f3c393473128ba9bbb603666	common_voice_en_34980969.mp3	One novelization of the film called Lang's manager Donut.	3	0				en	
370232f7041238c2fcabaa01feff56d43ee4067f56cf90ccebe75928cb99a6e89a0da319d53a14318ac410f24a2294559d5d239ab6335f5b71a58c4d804203e6	common_voice_en_35283494.mp3	Swanquarter is located in North Carolina's Inner Banks region.	2	1				en	
38936fcd70fa8be401bf7236661d02c3159ab4277c338330da552d0c04c91f637480dfbc1bb2d527fe326754bfcf212fd1de45cef7d26831ad03c0e03e8f6145	common_voice_en_35220738.mp3	Many witnesses were refusing to talk.	2	0				en	
